Month,diet
2013-01,100
2013-02,93
2013-03,92
2013-04,95
2013-05,90
2013-06,87
2013-07,84
2013-08,80
2013-09,76
2013-10,74
2013-11,69
2013-12,67
2014-01,96
2014-02,83
2014-03,84
2014-04,82
2014-05,81
2014-06,76
2014-07,73
2014-08,69
2014-09,72
2014-10,67
2014-11,67
2014-12,59
2015-01,87
2015-02,76
2015-03,83
2015-04,77
2015-05,75
2015-06,76
2015-07,71
2015-08,70
2015-09,69
2015-10,66
2015-11,62
2015-12,59
2016-01,78
2016-02,75
2016-03,72
2016-04,76
2016-05,72
2016-06,69
2016-07,70
2016-08,70
2016-09,68
2016-10,60
2016-11,60
2016-12,58
2017-01,80
2017-02,88
2017-03,82
2017-04,76
2017-05,77
2017-06,73
2017-07,79
2017-08,71
2017-09,69
2017-10,68
2017-11,64
2017-12,61
2018-01,91
2018-02,82
2018-03,88
2018-04,87
2018-05,87
2018-06,81
2018-07,83
2018-08,79
2018-09,71
2018-10,70
2018-11,64
2018-12,64
2019-01,99
2019-02,82
2019-03,79
2019-04,84
2019-05,72
2019-06,71
2019-07,72
2019-08,72
2019-09,68
2019-10,67
2019-11,67
2019-12,56
2020-01,80
2020-02,73
2020-03,54
2020-04,58
2020-05,66
2020-06,67
2020-07,68
2020-08,63
2020-09,66
2020-10,56
2020-11,52
2020-12,49
2021-01,69
2021-02,59
2021-03,58
2021-04,59
2021-05,56
2021-06,55
2021-07,51
2021-08,50
2021-09,50
2021-10,49
2021-11,44
2021-12,44
2022-01,56
2022-02,53
2022-03,54
2022-04,53
2022-05,51
2022-06,52
2022-07,49
2022-08,48
2022-09,46
2022-10,45
2022-11,42
2022-12,39
2023-01,52
